Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:f4f3844714eb7b2779132f5294a5c343ab5a71c5', 'name': 'pedantic_betty', 'target': {'seeds': ['testphp.vulnweb.com'], 'whitelist': ['testphp.vulnweb.com'], 'blacklist': [], 'strict_scope': False, 'hash': 'f648b4fb7cb7af3b8c108752ff7910401a39a7ae', 'seed_hash': '060e92d09292b608bfc470f1a08012ff1ce19a19', 'whitelist_hash': '060e92d09292b608bfc470f1a08012ff1ce19a19', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': '90e62c36b511693c013b011d2fed72c5afb218e5'}, 'preset': {'description': 'pedantic_betty', 'config': {'modules': {'iis_shortnames': {'detect_only': False}, 'telegram': {}}}, 'flags': ['iis-shortnames', 'web-basic', 'web-thorough']}, 'started_at': '2025-12-03T16:15:55.303551', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,testphp.vulnweb.com,44.228.249.3,TARGET,0,"a-record,cloud-amazon,cloud-ip,in-scope,subdomain,target,txt-record",Scan pedantic_betty seeded with DNS_NAME: testphp.vulnweb.com
ORG_STUB,vulnweb,,speculate,0,,Scan pedantic_betty seeded with DNS_NAME: testphp.vulnweb.com --> speculated ORG_STUB: vulnweb
