Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'microsoft asp.net', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,httpx->wappalyzer,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> HTTP_RESPONSE was 3.46KB with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: microsoft asp.net"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'windows server', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,httpx->wappalyzer,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> HTTP_RESPONSE was 3.46KB with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: windows server"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'dreamweaver', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,httpx->wappalyzer,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> HTTP_RESPONSE was 3.46KB with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: dreamweaver"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'iis', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,httpx->wappalyzer,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> HTTP_RESPONSE was 3.46KB with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: iis"
WEBSCREENSHOT,"{'path': 'gowitness/screenshots/http---testasp.vulnweb.com-80-.jpeg', 'url': 'http://testasp.vulnweb.com/'}",,gowitness,0,file,"Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> gowitness visited http://testasp.vulnweb.com/ and saved WEBSCREENSHOT to gowitness/screenshots/http---testasp.vulnweb.com-80-.jpeg"
VULNERABILITY,"{'host': 'testasp.vulnweb.com', 'severity': 'LOW', 'description': 'IIS Shortname Vulnerability Detected. Potentially Vulnerable Method/Techniques: [GET (400/404 HTTP Code),POST (400/404 HTTP Code),OPTIONS (200/404 HTTP Code),DEBUG (400/404 HTTP Code),HEAD (400/404 HTTP Code),TRACE (501/404 HTTP Code)]', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,iis_shortnames,0,"cloud-amazon,cloud-ip,in-scope,low","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> iis_shortnames detected low VULNERABILITY: IIS shortname enumeration"
FINDING,"{'host': 'testasp.vulnweb.com', 'description': 'template: [external-service-interaction], name: [External Service Interaction]', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,nuclei,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> nuclei scanned http://testasp.vulnweb.com/ and identified FINDING: template: [external-service-interaction], name: [External Service Interaction]"
FINDING,"{'host': 'testasp.vulnweb.com', 'description': 'template: [cookies-without-httponly], name: [Cookies without HttpOnly attribute - Detect] Extracted Data: [ASPSESSIONIDSQADBART]', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,nuclei,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> nuclei scanned http://testasp.vulnweb.com/ and identified FINDING: template: [cookies-without-httponly], name: [Cookies without HttpOnly attribute - Detect] Extracted Data: [ASPSESSIONIDSQADBART]"
FINDING,"{'host': 'testasp.vulnweb.com', 'description': 'template: [cookies-without-secure], name: [Cookies without Secure attribute - Detect] Extracted Data: [ASPSESSIONIDSQADBART]', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,nuclei,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> nuclei scanned http://testasp.vulnweb.com/ and identified FINDING: template: [cookies-without-secure], name: [Cookies without Secure attribute - Detect] Extracted Data: [ASPSESSIONIDSQADBART]"
FINDING,"{'host': 'testasp.vulnweb.com', 'description': 'template: [iis-shortname-detect], name: [IIS - Short Name Detect]', 'url': 'http://testasp.vulnweb.com/*~1*/a.aspx'}",44.238.29.244,nuclei,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> nuclei scanned http://testasp.vulnweb.com/*~1*/a.aspx and identified FINDING: template: [iis-shortname-detect], name: [IIS - Short Name Detect]"
FINDING,"{'host': 'testasp.vulnweb.com', 'description': 'template: [iis-shortname-detect], name: [IIS - Short Name Detect]', 'url': 'http://testasp.vulnweb.com/yr3v0ygp*~1*/a.aspx'}",44.238.29.244,nuclei,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> nuclei scanned http://testasp.vulnweb.com/yr3v0ygp*~1*/a.aspx and identified FINDING: template: [iis-shortname-detect], name: [IIS - Short Name Detect]"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'aspgeneric', 'url': 'http://testasp.vulnweb.com/'}",44.238.29.244,nuclei,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80 --> httpx visited testasp.vulnweb.com:80 and got status code 200 at http://testasp.vulnweb.com/ --> nuclei scanned http://testasp.vulnweb.com/ and identified TECHNOLOGY: aspgeneric"
