Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:b3aa5cfd2cf043321ce819b4d47817d68e86bfa7', 'name': 'benevolent_kayla', 'target': {'seeds': ['example.com'], 'whitelist': ['example.com'], 'blacklist': [], 'strict_scope': False, 'hash': '5da2f572da1d1a14c0c42df494b0ab648cd4c4ff', 'seed_hash': '0caaf24ab1a0c33440c06afe99df986365b0781f', 'whitelist_hash': '0caaf24ab1a0c33440c06afe99df986365b0781f', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': 'ac217ad3c68895558f3142a60bab40c9c5b2cdb1'}, 'preset': {'description': 'benevolent_kayla', 'config': {'modules': {'telegram': {}}}, 'modules': ['httpx']}, 'started_at': '2025-12-03T16:08:03.307062', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,example.com,"23.220.75.232,2600:1408:ec00:36::1736:7f24,2600:1406:5e00:6::17ce:bc1b,23.192.228.80,23.215.0.138,23.215.0.136,2600:1408:ec00:36::1736:7f31,2600:1406:bc00:53::b81e:94c8,23.192.228.84,2600:1406:5e00:6::17ce:bc12,2600:1406:bc00:53::b81e:94ce,23.220.75.245",TARGET,0,"a-record,aaaa-record,cdn-akamai,cdn-ip,domain,in-scope,mx-record,ns-record,soa-record,target,txt-record",Scan benevolent_kayla seeded with DNS_NAME: example.com
ORG_STUB,example,,speculate,0,,Scan benevolent_kayla seeded with DNS_NAME: example.com --> speculated ORG_STUB: example
DNS_NAME,a.iana-servers.net,"2001:500:8f::53,199.43.135.53",NS,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan benevolent_kayla seeded with DNS_NAME: example.com --> NS record for example.com contains DNS_NAME: a.iana-servers.net
DNS_NAME,ns.icann.org,"2001:500:89::53,199.4.138.53",SOA,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan benevolent_kayla seeded with DNS_NAME: example.com --> SOA record for example.com contains DNS_NAME: ns.icann.org
DNS_NAME,b.iana-servers.net,"199.43.133.53,2001:500:8d::53",NS,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan benevolent_kayla seeded with DNS_NAME: example.com --> NS record for example.com contains DNS_NAME: b.iana-servers.net
