Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:822ce12d715c5b2998753b2e5d5a0cfed8883090', 'name': 'cold_paul', 'target': {'seeds': ['http://testphp.vulnweb.com/hv/'], 'whitelist': ['testphp.vulnweb.com'], 'blacklist': [], 'strict_scope': False, 'hash': 'a9808f016c8f1cfe61de707a16cbf28886b1b4ba', 'seed_hash': 'f9af40524ce6ac2650d9b27180a69a597f8c37a0', 'whitelist_hash': '060e92d09292b608bfc470f1a08012ff1ce19a19', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': '90e62c36b511693c013b011d2fed72c5afb218e5'}, 'preset': {'description': 'cold_paul', 'config': {'modules': {'telegram': {}}}, 'modules': ['nuclei']}, 'started_at': '2025-12-03T16:22:04.219016', 'status': 'RUNNING'}",,TARGET,0,,
URL_UNVERIFIED,http://testphp.vulnweb.com/hv/,44.228.249.3,TARGET,0,"cloud-amazon,cloud-ip,dir,in-scope,target",Scan cold_paul seeded with URL_UNVERIFIED: http://testphp.vulnweb.com/hv/
DNS_NAME,testphp.vulnweb.com,44.228.249.3,TARGET->host,0,"a-record,cloud-amazon,cloud-ip,in-scope,subdomain,target,txt-record",Scan cold_paul seeded with URL_UNVERIFIED: http://testphp.vulnweb.com/hv/ --> URL_UNVERIFIED has host DNS_NAME: testphp.vulnweb.com
ORG_STUB,vulnweb,,speculate,0,,Scan cold_paul seeded with URL_UNVERIFIED: http://testphp.vulnweb.com/hv/ --> URL_UNVERIFIED has host DNS_NAME: testphp.vulnweb.com --> speculated ORG_STUB: vulnweb
URL,http://testphp.vulnweb.com/,44.228.249.3,httpx,0,"cloud-amazon,cloud-ip,dir,http-title-home-of-acunetix-art,in-scope,ip-44-228-249-3,status-200",Scan cold_paul seeded with URL_UNVERIFIED: http://testphp.vulnweb.com/hv/ --> URL_UNVERIFIED has host DNS_NAME: testphp.vulnweb.com --> speculated OPEN_TCP_PORT: testphp.vulnweb.com:80 --> httpx visited testphp.vulnweb.com:80 and got status code 200 at http://testphp.vulnweb.com/
OPEN_TCP_PORT,testphp.vulnweb.com:80,44.228.249.3,speculate,0,"cloud-amazon,cloud-ip,in-scope",Scan cold_paul seeded with URL_UNVERIFIED: http://testphp.vulnweb.com/hv/ --> URL_UNVERIFIED has host DNS_NAME: testphp.vulnweb.com --> speculated OPEN_TCP_PORT: testphp.vulnweb.com:80
TECHNOLOGY,"{'host': 'testphp.vulnweb.com', 'technology': 'nginxgeneric', 'url': 'http://testphp.vulnweb.com/'}",44.228.249.3,nuclei,0,"cloud-amazon,cloud-ip,in-scope",Scan cold_paul seeded with URL_UNVERIFIED: http://testphp.vulnweb.com/hv/ --> URL_UNVERIFIED has host DNS_NAME: testphp.vulnweb.com --> speculated OPEN_TCP_PORT: testphp.vulnweb.com:80 --> httpx visited testphp.vulnweb.com:80 and got status code 200 at http://testphp.vulnweb.com/ --> nuclei scanned http://testphp.vulnweb.com/ and identified TECHNOLOGY: nginxgeneric
